131,-2,0,0,3.0
140,3,-5,0,3.0
151,10,-15,0,2.0
154,11,-16,0,1.0
141,4,-8,0,2.0
150,10,-16,0,2.0
155,11,-15,0,3.0
109,-12,-3,0,2.0
112,-11,2,0,3.0
102,-14,0,0,3.0
108,-13,-2,0,3.0
159,16,-19,0,2.0
162,17,-20,0,2.0
129,-3,-10,0,2.0
165,18,-23,0,1.0
166,19,-21,0,2.0
116,-9,-9,0,3.0
100,-15,4,0,3.0
168,19,-11,0,1.0
167,19,-17,0,3.0
135,0,11,0,2.0
132,-2,8,0,1.0
130,-3,-1,0,1.0
186,33,-33,0,2.0
125,-5,3,0,2.0
194,37,-10,0,2.0
197,38,-14,0,3.0
114,-10,24,0,2.0
209,45,-7,0,2.0
205,43,-10,0,2.0
127,-5,28,0,2.0
220,47,-9,0,2.0
104,-14,28,0,2.0
98,-16,24,0,3.0
96,-17,28,0,2.0
93,-18,27,0,2.0
89,-22,25,0,2.0
92,-18,22,0,2.0
103,-14,22,0,3.0
74,-29,20,0,2.0
191,35,-6,0,2.0
