130,-3,-1,0,1
113,-10,-1,0,2
131,-2,0,0,3
102,-14,0,0,3
125,-5,3,0,2
132,-2,8,0,1
122,-6,1,0,1
112,-11,2,0,3
108,-13,-2,0,3
109,-12,-3,0,2
116,-9,-9,0,3
99,-15,-41,0,3
97,-16,-42,0,3
94,-17,-42,0,2
101,-14,-43,0,2
111,-11,-38,0,2
135,0,11,0,2
42,-40,-27,0,2
31,-44,-29,0,1
144,6,-44,0,2
32,-44,-26,0,3
33,-43,-33,0,2
37,-41,-30,0,3
137,2,-49,0,1
41,-40,-40,0,3
40,-40,-44,0,1
39,-40,-50,0,2
49,-37,-46,0,3
53,-36,-43,0,2
45,-39,-37,0,2
156,13,-6,0,2
168,19,-11,0,1
78,-25,-42,0,2
68,-30,-42,0,2
148,8,26,0,1
174,22,28,0,1
173,22,24,0,3
159,16,-19,0,2
166,19,-21,0,2
167,19,-17,0,3
